producto_id,mes,anio,descripcion_repuesto,marca_repuesto,cantidad_total,km_promedio,tipo_ot_desc,n_ots
01001-01001,1,2025,REPUESTO FALTANTE,SIN MARCA,50.5,72211.22222222222,Reparación / Servicio,9
01001-01001,1,2026,REPUESTO FALTANTE,SIN MARCA,23.0,143737.75,Reparación / Servicio,4
01001-01001,2,2024,REPUESTO FALTANTE,SIN MARCA,14.0,59096.333333333336,Reparación / Servicio,3
01001-01001,2,2025,REPUESTO FALTANTE,SIN MARCA,17.0,77723.33333333333,Reparación / Servicio,3
01001-01001,2,2026,REPUESTO FALTANTE,SIN MARCA,42.0,82355.28571428571,Reparación / Servicio,7
01001-01001,3,2024,REPUESTO FALTANTE,SIN MARCA,38.0,39700.375,Reparación / Servicio,8
01001-01001,3,2025,REPUESTO FALTANTE,SIN MARCA,24.0,75774.25,Reparación / Servicio,4
01001-01001,3,2026,REPUESTO FALTANTE,SIN MARCA,17.0,47783.0,Reparación / Servicio,3
01001-01001,4,2024,REPUESTO FALTANTE,SIN MARCA,43.0,55319.0,Reparación / Servicio,10
01001-01001,4,2025,REPUESTO FALTANTE,SIN MARCA,31.0,59538.2,Reparación / Servicio,5
01001-01001,4,2026,REPUESTO FALTANTE,SIN MARCA,12.0,85027.0,Reparación / Servicio,2
01001-01001,5,2024,REPUESTO FALTANTE,SIN MARCA,34.0,68984.83333333333,Reparación / Servicio,6
01001-01001,5,2025,REPUESTO FALTANTE,SIN MARCA,25.0,56410.5,Reparación / Servicio,4
01001-01001,5,2026,REPUESTO FALTANTE,SIN MARCA,19.5,62395.75,Reparación / Servicio,4
01001-01001,6,2024,REPUESTO FALTANTE,SIN MARCA,13.0,26012.0,Reparación / Servicio,2
01001-01001,7,2024,REPUESTO FALTANTE,SIN MARCA,75.0,61791.230769230766,Reparación / Servicio,13
01001-01001,8,2024,REPUESTO FALTANTE,SIN MARCA,57.0,46008.09090909091,Reparación / Servicio,11
01001-01001,8,2025,REPUESTO FALTANTE,SIN MARCA,6.0,51278.0,Reparación / Servicio,1
01001-01001,9,2024,REPUESTO FALTANTE,SIN MARCA,10.0,109852.5,Reparación / Servicio,2
01001-01001,9,2025,REPUESTO FALTANTE,SIN MARCA,32.0,109751.0,Reparación / Servicio,5
01001-01001,10,2024,REPUESTO FALTANTE,SIN MARCA,11.0,64942.5,Reparación / Servicio,2
01001-01001,10,2025,REPUESTO FALTANTE,SIN MARCA,11.0,66479.5,Reparación / Servicio,2
01001-01001,11,2025,REPUESTO FALTANTE,SIN MARCA,19.0,85296.66666666667,Reparación / Servicio,3
01001-01001,12,2024,REPUESTO FALTANTE,SIN MARCA,6.0,71377.0,Reparación / Servicio,1
01001-01001,12,2025,REPUESTO FALTANTE,SIN MARCA,7.0,81225.0,Reparación / Servicio,1
01001-01002,1,2025,REPUESTO FALTANTE,SIN MARCA,19.0,120647.33333333333,Reparación / Servicio,3
01001-01002,1,2026,REPUESTO FALTANTE,SIN MARCA,5.0,129464.0,Reparación / Servicio,1
01001-01002,2,2024,REPUESTO FALTANTE,SIN MARCA,5.0,132586.0,Reparación / Servicio,1
01001-01002,2,2025,REPUESTO FALTANTE,SIN MARCA,5.0,110261.0,Reparación / Servicio,1
01001-01002,3,2024,REPUESTO FALTANTE,SIN MARCA,33.0,125279.5,Reparación / Servicio,6
01001-01002,3,2025,REPUESTO FALTANTE,SIN MARCA,10.0,110485.0,Reparación / Servicio,2
01001-01002,4,2024,REPUESTO FALTANTE,SIN MARCA,25.0,117328.4,Reparación / Servicio,5
01001-01002,4,2025,REPUESTO FALTANTE,SIN MARCA,7.0,96387.0,Reparación / Servicio,1
01001-01002,5,2024,REPUESTO FALTANTE,SIN MARCA,5.5,112000.0,Reparación / Servicio,1
01001-01002,5,2025,REPUESTO FALTANTE,SIN MARCA,25.2,120801.8,Reparación / Servicio,5
01001-01002,5,2026,REPUESTO FALTANTE,SIN MARCA,7.0,116532.0,Reparación / Servicio,1
01001-01002,6,2024,REPUESTO FALTANTE,SIN MARCA,16.0,100694.66666666667,Reparación / Servicio,3
01001-01002,6,2025,REPUESTO FALTANTE,SIN MARCA,5.0,116651.0,Reparación / Servicio,1
01001-01002,7,2024,REPUESTO FALTANTE,SIN MARCA,10.0,171390.0,Reparación / Servicio,2
01001-01002,7,2025,REPUESTO FALTANTE,SIN MARCA,14.0,128245.33333333333,Reparación / Servicio,3
01001-01002,8,2024,REPUESTO FALTANTE,SIN MARCA,17.0,127092.33333333333,Reparación / Servicio,3
01001-01002,8,2025,REPUESTO FALTANTE,SIN MARCA,10.0,156255.5,Reparación / Servicio,2
01001-01002,9,2024,REPUESTO FALTANTE,SIN MARCA,20.0,114129.0,Reparación / Servicio,4
01001-01002,10,2024,REPUESTO FALTANTE,SIN MARCA,6.0,208717.0,Reparación / Servicio,1
01001-01002,10,2025,REPUESTO FALTANTE,SIN MARCA,20.0,125421.75,Reparación / Servicio,4
01001-01002,11,2024,REPUESTO FALTANTE,SIN MARCA,15.0,127352.66666666667,Reparación / Servicio,3
