N_OC,CANTIDAD,OBSERVACION,PRECIO_UNITARIO,TOTAL,C_REPUESTO,IDINTERNO
10000001,6,,10.4,62.4,BPA000000000017,50355353
10000001,6,,56.94,341.64,BPA000000100009,50355354
10000005,2,,16.95,33.9,01001-03004,50355433
10000008,2,Requerimiento Inmediato,139.83,279.66,01001-05001,50355474
10000009,1,Requerimiento Inmediato,15.26,15.26,01001-06001,50355475
10000009,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50355476
10000009,1,Requerimiento Inmediato,16.95,16.95,01001-06003,50355477
10000014,24,,16.88,405.12,01001-01006,50355573
10000017,1,Requerimiento Inmediato,16.95,16.95,01001-06005,50355633
10000017,1,Requerimiento Inmediato,19.5,19.5,01001-06006,50355634
10000017,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50355635
10000018,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50355636
10000019,1,Requerimiento Inmediato,50.85,50.85,01001-07001,50355637
10000021,1,Requerimiento Inmediato,194.92,194.92,01001-03011,50355653
10000023,1,Requerimiento Inmediato,431.36,431.36,01001-02011,50355693
10000027,2,,12.6,25.2,01001-06011,50355773
10000027,2,,1.47,2.94,01001-03007,50355774
10000028,1,Requerimiento Inmediato,21.19,21.19,01001-06012,50355793
10000028,1,Requerimiento Inmediato,21.19,21.19,01001-06013,50355794
10000029,9,,39.75,357.75,01001-01011,50355813
10000031,1,Requerimiento Inmediato,44.17,44.17,01001-06015,50355853
10000031,1,Requerimiento Inmediato,32.92,32.92,01001-06016,50355854
10000031,1,Requerimiento Inmediato,58.92,58.92,01001-06017,50355855
10000032,4,Requerimiento Inmediato,42.38,169.52,01001-03018,50355873
10000033,1,Requerimiento Inmediato,181.78,181.78,01001-04003,50355893
10000041,1,Requerimiento Inmediato,4.16,4.16,01001-03021,50356053
10000041,1,Requerimiento Inmediato,2.64,2.64,01001-03022,50356054
10000045,2,Requerimiento Inmediato,203.03,406.06,01001-05006,50356133
10000057,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50356373
10000058,1,Requerimiento Inmediato,127.12,127.12,01001-02501,50356393
10000073,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50356493
10000073,1,Requerimiento Inmediato,16.95,16.95,01001-06029,50356494
10000073,1,Requerimiento Inmediato,21.19,21.19,01001-06030,50356495
10000090,1,Requerimiento Inmediato,58.18,58.18,01001-06036,50356753
10000090,1,Requerimiento Inmediato,67.78,67.78,01001-06037,50356754
10000090,1,Requerimiento Inmediato,83.95,83.95,01001-06038,50356755
10000091,1,Requerimiento Inmediato,1067.8,1067.8,01001-02018,50356756
10000094,1,Requerimiento Inmediato,11.87,11.87,01001-06040,50356781
10000094,1,Requerimiento Inmediato,16.95,16.95,01001-06039,50356782
10000094,1,Requerimiento Inmediato,16.95,16.95,01001-06003,50356783
10000103,1,Requerimiento Inmediato,38.13,38.13,01001-03037,50356933
10000103,1,Requerimiento Inmediato,42.38,42.38,01001-03038,50356934
10000116,1,Requerimiento Inmediato,114.41,114.41,01001-05020,50357133
10000116,1,Requerimiento Inmediato,114.41,114.41,01001-05021,50357134
10000118,1,Requerimiento Inmediato,156.78,156.78,01001-05024,50357153
10000118,1,Requerimiento Inmediato,156.78,156.78,01001-05025,50357154
10000121,1,Requerimiento Inmediato,1067.81,1067.81,01001-05026,50357213
10000121,2,Requerimiento Inmediato,118.64,237.28,01001-05027,50357214
10000122,1,Requerimiento Inmediato,80,80,01001-05028,50357233
10000123,4,,80.4,321.6,01001-01020,50357253
10000127,1,Requerimiento Inmediato,29.66,29.66,01001-06049,50357313
10000127,1,Requerimiento Inmediato,50.85,50.85,01001-06050,50357314
10000127,1,Requerimiento Inmediato,55.08,55.08,01001-06051,50357315
10000129,1,Requerimiento Inmediato,27.12,27.12,01001-06049,50357353
10000130,1,Requerimiento Inmediato,220.34,220.34,01001-05029,50357373
10000130,2,Requerimiento Inmediato,177.97,355.94,01001-05030,50357374
10000131,1,Requerimiento Inmediato,113.18,113.18,01001-05031,50357393
10000131,1,Requerimiento Inmediato,216.29,216.29,01001-03044,50357394
10000131,1,Requerimiento Inmediato,72.43,72.43,01001-05032,50357395
10000131,1,Requerimiento Inmediato,72.43,72.43,01001-05033,50357396
10000131,2,Requerimiento Inmediato,75.28,150.56,01001-05034,50357397
10000137,1,Requerimiento Inmediato,12.71,12.71,01001-06002,50357494
10000139,1,Requerimiento Inmediato,93.22,93.22,01001-06054,50357513
10000139,1,Requerimiento Inmediato,23.73,23.73,01001-06055,50357514
10000139,2,Requerimiento Inmediato,16.95,33.9,01001-06003,50357515
10000144,4,Requerimiento Inmediato,445.27,1781.08,01001-08002,50357533
10000146,6,,43.18,259.08,01001-01506,50357553
10000147,1,Requerimiento Inmediato,101.7,101.7,01001-02505,50357554
10000151,48,,25.43,1220.64,01001-01001,50357595
10000151,32,,20.12,643.84,01001-01002,50357596
10000154,1,Requerimiento Inmediato,18.64,18.64,01001-06057,50357633
10000173,1,Requerimiento Inmediato,135.59,135.59,01001-05043,50358013
10000173,1,Requerimiento Inmediato,118.65,118.65,01001-05044,50358014
10000175,1,Requerimiento Inmediato,102.4,102.4,01001-09010,50358053
10000176,1,Requerimiento Inmediato,33.9,33.9,01001-09011,50358073
10000184,4,Requerimiento Inmediato,12.71,50.84,01001-03064,50358235
10000185,2,Requerimiento Inmediato,300,600,01001-08003,50358253
10000186,5,,11.44,57.2,01001-04011,50358273
10000187,1,Requerimiento Inmediato,161.02,161.02,01001-05047,50358293
10000187,1,Requerimiento Inmediato,135.59,135.59,01001-05048,50358294
10000188,1,,233.16,233.16,01001-09012,50358313
10000189,1,Requerimiento Inmediato,143.22,143.22,01001-04013,50358333
10000190,1,Requerimiento Inmediato,93.22,93.22,01001-02508,50358353
10000191,2,Requerimiento Inmediato,45.34,90.68,01001-09013,50358373
10000192,1,Requerimiento Inmediato,168.64,168.64,01001-02002,50358393
10000193,1,Requerimiento Inmediato,68.64,68.64,01001-02004,50358413
10000194,1,Requerimiento Inmediato,322.03,322.03,01001-04009,50358433
10000195,1,Requerimiento Inmediato,105.94,105.94,01001-21027,50358453
10000196,1,Requerimiento Inmediato,21.19,21.19,01001-06068,50358473
10000196,1,Requerimiento Inmediato,21.19,21.19,01001-06069,50358474
10000003,48,,25.43,1220.64,01001-01001,50355393
10000003,32,,20.12,643.84,01001-01002,50355394
10000006,1,,343.24,343.24,01001-04001,50355453
10000039,1,Requerimiento Inmediato,16.95,16.95,01001-06018,50356013
10000039,1,Requerimiento Inmediato,16.95,16.95,01001-06019,50356014
10000039,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50356015
10000043,2,Requerimiento Inmediato,72.04,144.08,01001-08001,50356093
10000055,1,,311.02,311.02,01001-02005,50356333
10000060,4,Requerimiento Inmediato,38.14,152.56,01001-03026,50356433
10000062,5,,0.85,4.25,01001-03007,50356436
10000062,1,,21.18,21.18,01001-07001,50356437
10000066,1,Requerimiento Inmediato,16.95,16.95,01001-06020,50356458
10000066,1,Requerimiento Inmediato,11.87,11.87,01001-06014,50356459
10000066,1,Requerimiento Inmediato,16.94,16.94,01001-06003,50356460
10000074,1,Requerimiento Inmediato,38.41,38.41,01001-06031,50356513
10000074,1,Requerimiento Inmediato,79.84,79.84,01001-06032,50356514
10000074,1,Requerimiento Inmediato,82.12,82.12,01001-06033,50356515
10000075,4,Requerimiento Inmediato,44.07,176.28,01001-03028,50356516
10000077,1,Requerimiento Inmediato por OV,321.51,321.51,01001-03030,50356573
10000085,1,Requerimiento Inmediato,65.25,65.25,01001-03033,50356693
10000085,1,Requerimiento Inmediato,2647.68,2647.68,01001-03034,50356694
10000086,1,Requerimiento Inmediato,322.03,322.03,01001-03035,50356713
10000087,1,Requerimiento Inmediato,305.09,305.09,01001-09001,50356714
10000088,1,Requerimiento Inmediato,18.65,18.65,01001-06007,50356715
