OT,FECHA,PLACA,C_USUARIO,C_SEGURO,C_BROKER,C_TIPOOT,C_RECORDATORIO,KM,FHSALIDA,VIN,C_ESTADO,FHACTUALREG,COLOR,REQUERIMIENTO
10000001,14/02/2022 12:20:57 PM,ABC123 ,10000001,99,,R,,148852,23/02/2026 01:08:40 PM,WERTY012345678901,S7,23/02/2026 01:08:28 PM,PLATA,servicio mayor revisar ruiso posterior
10000002,11/11/2020 11:31:02 AM,C0A476 ,10000055,99,,R,,1000,11/07/2023 05:12:04 PM,KNAKU811DC5348052,S7,11/05/2022 11:36:02 AM,,REF. COTIZACION 0169
10000004,16/01/2023 12:00:00 AM,D5D204 ,10002729,99,,R,,45000,18/01/2023 02:01:48 PM,WAUZZZ8K7DN009663,S6,18/01/2023 02:03:48 PM,,SERVICIO MENOR
10000014,07/02/2023 03:54:05 PM,D4B228 ,10002739,99,,R,,80450,20/07/2024 12:55:10 PM,3HGRM3830CG603778,S7,08/07/2024 01:07:40 PM,PLATA,SERVICIO MAYOR
10000015,16/02/2023 05:00:43 PM,A9U142 ,10002742,99,,R,,40000,23/02/2026 01:09:53 PM,WDDGF4JB3BA431522,S6,16/02/2023 05:05:16 PM,AZUL,CAMBIO DE PASTILLAS DE FRENO DELT. Y POST.
10000025,01/03/2023 05:25:00 PM,CCH291 ,10002751,99,,R,,160000,20/04/2023 05:12:44 PM,KMHSG81DP9U415338,S6,11/04/2023 05:49:41 PM,GRIS,SERVICIO MAYOR
10000026,20/04/2023 05:31:52 PM,B1A084 ,10000006,99,,R,,32096,20/04/2023 06:33:13 PM,KNAFU411BA5276053,S6,20/04/2023 06:31:41 PM,PLATA,SERVICIO MANT. MAYOR
10000030,17/05/2023 12:00:00 AM,A1B420 ,10000010,99,,R,,42368,09/08/2024 01:42:05 PM,3VWRV49M3AM008627,S6,18/05/2023 11:47:16 AM,GRIS,servicio mayor 
10000031,18/05/2023 04:24:45 PM,AJM123 ,10002755,99,,R,,65189,23/05/2023 01:33:33 PM,3MZBM42Z56M111036,S6,18/05/2023 04:25:57 PM,AZUL,SERVICIO MAYOR
10000033,23/05/2023 05:20:24 PM,AUH012 ,10002756,99,,R,,21000,13/06/2024 10:25:16 AM,WDDWF4AB4HF453228,S7,23/05/2023 05:26:56 PM,PLATA,SERVICIO MENOR 
10000034,29/05/2023 10:37:51 AM,AWI733 ,10000114,08,,R,,61755,29/05/2023 05:41:03 PM,98D265524J9088163,S6,29/05/2023 05:40:27 PM,,CAMBIO DE BRIDA
10000039,12/06/2023 12:00:00 AM,B1V193 ,10000073,99,,R,,66116,13/06/2023 05:37:12 PM,3D4PG5FBXAT262177,S7,13/06/2023 05:10:00 PM,AZUL,SERVICIO MAYOR. CAMBIO DE FOCO POST. DE FRENO
10000047,14/07/2023 09:43:41 AM,VCC832 ,10002765,99,,R,,36047,02/08/2024 12:25:46 PM,8AJKA3CD9P3106220,S7,14/07/2023 02:34:32 PM,GRIS OSCURO,MANT. MAYOR CAMBIO DE DISCOS DELT. DE FRENOS CAMBIO DE PASTILLAS DE FRENO DELT.
10000049,18/07/2023 01:30:49 PM,D3R385 ,10000017,99,,R,,82112,19/07/2024 03:13:02 PM,KL1PJ5E53DK011962,S7,18/07/2023 04:55:14 PM,NEGRO,Servicio Mayor Cambio de empaque de tapa de balancines
10000051,04/09/2023 11:30:00 AM,BXX005 ,10002770,99,,R,,65626,02/08/2024 11:34:17 AM,0000000SJ80122067,S7,06/09/2023 04:04:03 PM,AZUL,AJUSTE DE CARROCERIA MANT. DE FRENOS
10000052,08/09/2023 11:35:00 AM,BNU588 ,10002748,99,,R,,33573,02/08/2024 12:03:41 PM,YV1LFA2ACL1544779,S7,08/09/2023 05:12:21 PM,GRIS,CLIENTE REFIERE SONIDO DELTERO IZQUIERDO AL CONDUCIR
10000060,29/11/2023 12:00:00 AM,C0A476 ,10000055,99,,R,,108500,17/05/2024 08:52:19 AM,KNAKU811DC5348052,S9,17/05/2024 08:53:30 AM,,CAMBIO DE LUNA PARABRISAS
10000067,12/02/2024 12:00:00 AM,B1V193 ,10000073,99,,R,,71378,23/02/2026 01:15:33 PM,3D4PG5FBXAT262177,S7,17/02/2024 08:32:50 AM,AZUL,CAMBIO DE SENSOR DE RUEDA DELT RH CUADRAR PARACH. DELT MODULO ABS
10000068,13/02/2024 12:00:00 AM,ANH339 ,10000115,99,,R,,70706,22/02/2024 07:26:49 PM,3VW151AJ5GM256304,S6,17/02/2024 08:46:58 AM,NEGRO PERLADO,FALLA ELECTRICA
10000069,14/02/2024 12:00:00 AM,BOY822 ,10002789,99,,R,,66656,26/03/2024 04:00:35 PM,JSAERA31S65252430,S6,26/03/2024 04:00:13 PM,BURDEO,Serv. preventivo menor PyP funda parach. delt Revisar AC Revisar bateria Cliente manifiesta sonido en la parte delt.
10000072,19/02/2024 02:30:03 PM,BPA001 ,10002739,99,,R,,1,23/02/2026 01:16:49 PM,11111111111111111,S6,17/09/2024 09:53:38 AM,,ORDEN DE TRABAJO PARA LOS CONSUMOS DEL TALLER
10000078,19/02/2024 04:30:00 PM,F7E569 ,10002795,99,,R,,122726,23/02/2026 01:17:13 PM,1C4RJEAG5EC251437,S6,22/02/2024 06:57:24 PM,DORADO,CAMBIO DE MICA DE FARO DELT LH CAMBIO E MICA POST LH
10000080,23/02/2024 04:12:35 PM,AYQ233 ,10002797,99,,R,,13487,23/02/2026 01:17:49 PM,WDDSJ4CB3JN543122,S7,23/02/2024 04:35:02 PM,ROJO,REVISION DE SISTEMA ELECTRICO: TESTIGO ENCENDIDO DE FALLA DE TRANSMISION CAJA DE CAMBIOS SE BLOQUEO EN MARCHA 
10000081,26/02/2024 04:38:44 PM,ASY295 ,10002798,99,,R,,61170,23/10/2024 03:43:29 PM,KL1GM5E58FB027682,S7,26/02/2024 05:34:48 PM,GRIS HUMO,CAMBIO DE BATERIA FOCO LAGRIMON DE 2 CONTACTOS DELT RH
10000084,28/02/2024 01:54:26 PM,ABE745 ,10002800,99,,R,,127703,23/02/2026 01:18:42 PM,LZWCCAGA3E6004876,S9,23/02/2026 01:18:37 PM,PLATA,"Cliente solicita: 1) Auxilio mec?nico, motor se apag? en marcha y la temperatura del motor se elev?. 2) Revisi?n general: Sistema de refrigeraci?n del motor, sistema de a/c, palanca de velocidades de ventilador soplador posterior, revisi?n de motor."
10000007,18/01/2023 12:00:00 AM,D5D204 ,10002729,99,,R,,45020,10/04/2024 02:31:44 PM,WAUZZZ8K7DN009663,S6,04/02/2023 11:36:35 AM,,Servicio correctivo
10000009,01/02/2023 08:52:12 AM,F9X279 ,10000014,99,,R,,77019,14/06/2024 09:05:49 AM,WAUZZZ8K7EA019506,S7,09/02/2023 08:54:41 AM,AZUL,CAMBIO DE EMPAQUE DE TAPA DE CARTER
10000012,01/02/2023 01:03:03 PM,BAV558 ,10002737,99,,R,,36001,28/05/2024 05:09:19 PM,WAUZZZ8U4JR034641,S6,28/05/2024 05:07:05 PM,BLANCO,CAMBIO DE BATERIA
10000013,09/02/2023 01:35:35 AM,BKM296 ,10002738,99,,R,,49654,10/04/2024 02:38:43 PM,9BRB29BT7K2236014,S6,09/02/2023 02:43:59 PM,BAIGE MICA,SERVICIO MAYOR. FRENOS REP. BOMBINES
10000016,16/02/2023 05:39:38 PM,D8V110 ,10000074,99,,R,,100443,10/03/2023 02:56:51 PM,JM8KE2W72E0204432,S6,16/02/2023 05:41:30 PM,NEGRO,CAMBIO DE TRAPECIOS LAVADOP DE SALON
10000017,17/02/2023 04:20:59 PM,BBT075 ,10002743,99,,R,,44024,22/03/2024 09:39:57 AM,WAUZZZ8V3J1041071,S9,17/02/2023 05:16:32 PM,GRIS NANO,SERVICIO MAYOR
10000018,23/02/2023 02:22:40 PM,AJL360 ,10000033,99,,R,,98721,11/07/2023 01:26:25 PM,3HGRM3830FG602341,S1,23/02/2023 02:26:44 PM,AZUL,SERVICIO MENOR
10000019,27/02/2023 05:38:44 PM,F2Y488 ,10000028,99,,R,,132990,23/02/2026 01:10:28 PM,5FNYF4850DB602394,S6,23/02/2026 01:10:21 PM,GRIS,"Limpieza de torretas y rodaje, cambio de bieletas, tapizado de posa brazos centro y puetas delt."
10000022,10/03/2023 02:57:01 PM,D8V110 ,10000074,99,,R,,100936,09/04/2024 11:05:58 AM,JM8KE2W72E0204432,S6,10/03/2023 02:58:18 PM,NEGRO,SERV. MAYOR
10000023,03/03/2023 09:45:00 AM,AAU342 ,10002749,99,,R,,100449,20/04/2023 05:29:59 PM,WBA5A3102FD010840,S6,20/04/2023 05:16:03 PM,GRIS,SERV. FRENOS
10000027,09/03/2023 10:30:00 AM,B1A084 ,10000006,99,,R,,32105,20/04/2023 06:58:10 PM,KNAFU411BA5276053,S6,20/04/2023 06:56:13 PM,PLATA,AMORTIGUADORES
10000028,08/03/2023 07:08:00 PM,AIU683 ,10002752,99,,R,,127069,21/04/2023 09:19:52 AM,EL500044152111111,S6,21/04/2023 09:07:48 AM,AZUL,SERVICIO PRECEBTI Y CORRECTIVO
10000029,04/05/2023 11:47:37 AM,AKW540 ,10000054,99,,R,,60819,04/05/2023 04:11:45 PM,3HGRM3850FG600965,S6,04/05/2023 11:52:55 AM,NEGRO,Servicio mant. mayor
