OT,FECHA,PLACA,C_USUARIO,C_SEGURO,C_BROKER,C_TIPOOT,C_RECORDATORIO,KM,FHSALIDA,VIN,C_ESTADO,FHACTUALREG,COLOR,REQUERIMIENTO,CODIGO,DESCRIPCION,N_OT,CANTIDAD,PRECIO_UNITARIO,SUBTOTAL,IGV,TOTAL,FECHA_REGISTRO,REPARAR,C_MONEDA,N_PROFORMA,C_PROMOCION,N_OC,CANTIDAD_oc,OBSERVACION,PRECIO_UNITARIO_oc,TOTAL_oc,C_REPUESTO,IDINTERNO
10000001,14/02/2022 12:20:57 PM,ABC123 ,10000001,99,,R,,148852,23/02/2026 01:08:40 PM,WERTY012345678901,S7,23/02/2026 01:08:28 PM,PLATA,servicio mayor revisar ruiso posterior,BPA000000030007,Filtro De Aceite,10000001,1,24.75,24.75,4.46,29.21,12/02/2024 03:46:30 PM,0,S,0,,,,,,,,
10000001,14/02/2022 12:20:57 PM,ABC123 ,10000001,99,,R,,148852,23/02/2026 01:08:40 PM,WERTY012345678901,S7,23/02/2026 01:08:28 PM,PLATA,servicio mayor revisar ruiso posterior,BPA000000040008,Aceite 10w30 Sp/rc G6,10000001,4,31.04,124.16,22.35,146.51,12/02/2024 03:46:30 PM,0,S,0,,,,,,,,
10000004,16/01/2023 12:00:00 AM,D5D204 ,10002729,99,,R,,45000,18/01/2023 02:01:48 PM,WAUZZZ8K7DN009663,S6,18/01/2023 02:03:48 PM,,SERVICIO MENOR,BPA000000040001,Aceite Para Motor 5w30 C3,10000004,5,68.48,288,51.84,339.84,12/02/2024 03:45:32 PM,0,S,0,,,,,,,,
10000004,16/01/2023 12:00:00 AM,D5D204 ,10002729,99,,R,,45000,18/01/2023 02:01:48 PM,WAUZZZ8K7DN009663,S6,18/01/2023 02:03:48 PM,,SERVICIO MENOR,BPA000000030007,Filtro De Aceite,10000004,1,90,81,14.58,95.58,12/02/2024 03:45:32 PM,0,S,0,,,,,,,,
10000004,16/01/2023 12:00:00 AM,D5D204 ,10002729,99,,R,,45000,18/01/2023 02:01:48 PM,WAUZZZ8K7DN009663,S6,18/01/2023 02:03:48 PM,,SERVICIO MENOR,MC,Material Consumible,10000004,1,63,56.7,10.21,66.91,12/02/2024 03:45:32 PM,0,S,0,,,,,,,,
10000004,16/01/2023 12:00:00 AM,D5D204 ,10002729,99,,R,,45000,18/01/2023 02:01:48 PM,WAUZZZ8K7DN009663,S6,18/01/2023 02:03:48 PM,,SERVICIO MENOR,BPA000000000016,Shampoo Limpia Parabrisas,10000004,1,6,5.4,0.97,6.37,12/02/2024 03:45:32 PM,0,S,0,,,,,,,,
10000014,07/02/2023 03:54:05 PM,D4B228 ,10002739,99,,R,,80450,20/07/2024 12:55:10 PM,3HGRM3830CG603778,S7,08/07/2024 01:07:40 PM,PLATA,SERVICIO MAYOR,ACEITEWOLF01,Aceite De Motor Wolf 5w30,10000014,5,30,150,27,177,12/02/2024 03:40:03 PM,0,S,0,,,,,,,,
10000014,07/02/2023 03:54:05 PM,D4B228 ,10002739,99,,R,,80450,20/07/2024 12:55:10 PM,3HGRM3830CG603778,S7,08/07/2024 01:07:40 PM,PLATA,SERVICIO MAYOR,BPA000000030007,Filtro De Aceite,10000014,1,15,15,2.7,17.7,09/02/2023 04:16:56 PM,0,S,0,,,,,,,,
10000014,07/02/2023 03:54:05 PM,D4B228 ,10002739,99,,R,,80450,20/07/2024 12:55:10 PM,3HGRM3830CG603778,S7,08/07/2024 01:07:40 PM,PLATA,SERVICIO MAYOR,BPA000000030004,Filtro De Aire,10000014,1,20,20,3.6,23.6,09/02/2023 04:16:56 PM,0,S,0,,,,,,,,
10000014,07/02/2023 03:54:05 PM,D4B228 ,10002739,99,,R,,80450,20/07/2024 12:55:10 PM,3HGRM3830CG603778,S7,08/07/2024 01:07:40 PM,PLATA,SERVICIO MAYOR,BPA000000030003,Filtro De Cabina,10000014,1,20,20,3.6,23.6,09/02/2023 04:16:56 PM,0,S,0,,,,,,,,
10000014,07/02/2023 03:54:05 PM,D4B228 ,10002739,99,,R,,80450,20/07/2024 12:55:10 PM,3HGRM3830CG603778,S7,08/07/2024 01:07:40 PM,PLATA,SERVICIO MAYOR,MC,Material Consumible,10000014,1,30,30,5.4,35.4,12/02/2024 03:40:03 PM,0,S,0,,,,,,,,
10000014,07/02/2023 03:54:05 PM,D4B228 ,10002739,99,,R,,80450,20/07/2024 12:55:10 PM,3HGRM3830CG603778,S7,08/07/2024 01:07:40 PM,PLATA,SERVICIO MAYOR,SHAMPOO01,Shampoo Limpia Parabrisas,10000014,1,3,3,0.54,3.54,12/02/2024 03:40:03 PM,0,S,0,,,,,,,,
