n_ot,producto_id,descripcion,cantidad,anio,mes,km,tipo_ot_desc,c_repuesto,descripcion_repuesto,marca_repuesto
10000018,BPA000000030007,Filtro De Aceite,1.0,2023,2,98721,Reparación / Servicio,BPA000000030007,FILTRO DE ACEITE,SIN MARCA
10000025,SIN_CODIGO,Filtro De Aire De Motor,1.0,2023,3,160000,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000030,SIN_CODIGO,Filtro De Aceite De Motor,1.0,2023,5,42368,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000030,BPA000000100008,Arandela,1.0,2023,5,42368,Reparación / Servicio,BPA000000100008,ARANDELA,SIN MARCA
10000031,SIN_CODIGO,Shampoo Limpia Parabrisas,1.0,2023,5,65189,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000029,SIN_CODIGO,Insumos,1.0,2023,5,60819,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000029,SIN_CODIGO,Foco Lagrima,1.0,2023,5,60819,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000059,SIN_CODIGO,Aceite De Motor,5.0,2023,11,77096,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000070,01001-05001,Disco De Freno Delt.,2.0,2024,2,73427,Reparación / Servicio,01001-05001,REPUESTO FALTANTE,SIN MARCA
10000049,SIN_CODIGO,Filtro De A/c,1.0,2023,7,82112,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000053,SIN_CODIGO,Insumos,1.0,2023,9,73812,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000057,SIN_CODIGO,Aceite De Motor 5w40,5.0,2023,10,16647,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000062,SIN_CODIGO,Aceite De Direccion Hidraulica,3.0,2024,1,224825,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000088,01001-01501,Limpieza Sistema Gasolina E Inyectores,1.0,2024,3,51515,Reparación / Servicio,01001-01501,REPUESTO FALTANTE,SIN MARCA
10000047,SIN_CODIGO,Pin O Pasador Para Frenos (portacaliper),1.0,2023,7,36047,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000090,01001-03007,Arandela De Tapon De Carter,1.0,2024,3,67470,Reparación / Servicio,01001-03007,REPUESTO FALTANTE,SIN MARCA
10000093,01001-03014,Empaque De Valvula Vtec (15815-raa-a02),1.0,2024,3,143517,Reparación / Servicio,01001-03014,REPUESTO FALTANTE,SIN MARCA
10000036,SIN_CODIGO,Bieletas Post.,1.0,2023,6,141692,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000039,SIN_CODIGO,Shampoo Limpia Parabrisas,1.0,2023,6,66116,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000043,SIN_CODIGO,Insumos,1.0,2023,6,58218,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000093,01001-01012,Aceite Atf Dw1 (08200-9008),4.0,2024,3,143517,Reparación / Servicio,01001-01012,REPUESTO FALTANTE,SIN MARCA
10000082,01001-02010,Foco Lagrimon 02 Cont.,2.0,2024,2,115988,Reparación / Servicio,01001-02010,REPUESTO FALTANTE,SIN MARCA
10000101,SIN_CODIGO,Aceite De Motor 5w-30,5.0,2024,3,10942,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000038,SIN_CODIGO,Tapa De Arbol De Levas,1.0,2023,4,81684,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000114,MC,Material Consumible,1.0,2024,3,121583,Reparación / Servicio,MC,REPUESTO FALTANTE,SIN MARCA
10000117,01001-02016,Bateria Quickstart - Smf 40b19l,1.0,2024,3,66700,Reparación / Servicio,01001-02016,REPUESTO FALTANTE,SIN MARCA
10000118,01001-03031,Bomba De Agua,1.0,2024,3,51936,Reparación / Servicio,01001-03031,REPUESTO FALTANTE,SIN MARCA
10000072,01001-21020,Pa�o Microfina Peluche (72x45 Cm) (12 Unid.),3.0,2024,2,1,Reparación / Servicio,01001-21020,REPUESTO FALTANTE,SIN MARCA
10000133,01001-02051,Foco 2 Cont. Base Metal. 12v.,2.0,2024,4,63197,Reparación / Servicio,01001-02051,REPUESTO FALTANTE,SIN MARCA
10000101,01001-02015,Bateria Bosch - 70b-24ls (58d-51r),1.0,2024,3,10942,Reparación / Servicio,01001-02015,REPUESTO FALTANTE,SIN MARCA
10000162,SIN_CODIGO,Aceite De Motor 5w40|,6.0,2024,4,64953,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000131,01001-06002,Filtro De Aceite Std.,1.0,2024,4,114021,Reparación / Servicio,01001-06002,REPUESTO FALTANTE,SIN MARCA
10000123,01001-05025,Sensor De Abs Delt. Izq. (montero),1.0,2024,4,252845,Reparación / Servicio,01001-05025,REPUESTO FALTANTE,SIN MARCA
10000146,01001-05030,Disco De Freno Delt. (a6),2.0,2024,4,133136,Reparación / Servicio,01001-05030,REPUESTO FALTANTE,SIN MARCA
10000161,MC,Material Consumible,1.0,2024,4,65694,Reparación / Servicio,MC,REPUESTO FALTANTE,SIN MARCA
10000158,SIN_CODIGO,Insumos,1.0,2024,4,60583,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000108,01001-01004,Shampoo Limpiaparabrisas Wurth 32ml.,1.0,2024,3,62240,Reparación / Servicio,01001-01004,REPUESTO FALTANTE,SIN MARCA
10000108,MC,Material Consumible,1.0,2024,3,62240,Reparación / Servicio,MC,REPUESTO FALTANTE,SIN MARCA
10000108,01001-06020,Filtro De Aire (civic),1.0,2024,3,62240,Reparación / Servicio,01001-06020,REPUESTO FALTANTE,SIN MARCA
10000127,01001-02010,Foco Lagrimon 02 Cont.,1.0,2024,4,47368,Reparación / Servicio,01001-02010,REPUESTO FALTANTE,SIN MARCA
10000136,SIN_CODIGO,Pre Filtro Canister,1.0,2024,4,73123,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000141,01001-01501,Limpieza Sistema Gasolina E Inyectores,1.0,2024,4,114209,Reparación / Servicio,01001-01501,REPUESTO FALTANTE,SIN MARCA
10000211,SIN_CODIGO,Caja Cvt (nueva),1.0,2024,6,75990,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000218,01001-01008,Aceite De Motor 10w40 Sash,1.5,2024,6,107134,Reparación / Servicio,01001-01008,REPUESTO FALTANTE,SIN MARCA
10000169,01001-02506,Mando Principal De Lunas (almera),1.0,2024,5,65226,Reparación / Servicio,01001-02506,REPUESTO FALTANTE,SIN MARCA
10000072,01001-21012,Sellador Carroceria Uretano Negro 600 Ml.,1.0,2024,2,1,Reparación / Servicio,01001-21012,REPUESTO FALTANTE,SIN MARCA
10000072,01001-25003,Kit Removedor Tapices Y Paneles 08 Pza.,1.0,2024,2,1,Reparación / Servicio,01001-25003,REPUESTO FALTANTE,SIN MARCA
10000158,01001-01501,Limpieza Sistema Gasolina E Inyectores,1.0,2024,4,60583,Reparación / Servicio,01001-01501,REPUESTO FALTANTE,SIN MARCA
10000158,01001-02054,Foco H11 12v 55w,1.0,2024,4,60583,Reparación / Servicio,01001-02054,REPUESTO FALTANTE,SIN MARCA
10000162,01001-03007,Arandela De Tapon De Carter,1.0,2024,4,64953,Reparación / Servicio,01001-03007,REPUESTO FALTANTE,SIN MARCA
10000161,SIN_CODIGO,Soporte Transmision,1.0,2024,4,65694,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000175,01001-05008,Pastillas De Freno Post. (cr-v),1.0,2024,5,101148,Reparación / Servicio,01001-05008,REPUESTO FALTANTE,SIN MARCA
10000163,01001-03007,Arandela De Tapon De Carter,1.0,2024,4,164392,Reparación / Servicio,01001-03007,REPUESTO FALTANTE,SIN MARCA
10000166,01001-01005,Aceite De D/h (08206-9002),3.0,2024,5,157326,Reparación / Servicio,01001-01005,REPUESTO FALTANTE,SIN MARCA
10000178,01001-01008,Aceite De Motor 10w40 Sash,5.0,2024,5,105305,Reparación / Servicio,01001-01008,REPUESTO FALTANTE,SIN MARCA
10000178,01001-06062,Filtro De Aceite (bmw),1.0,2024,5,105305,Reparación / Servicio,01001-06062,REPUESTO FALTANTE,SIN MARCA
10000197,01001-03007,Arandela De Tapon De Carter,1.0,2024,5,46934,Reparación / Servicio,01001-03007,REPUESTO FALTANTE,SIN MARCA
10000183,01001-09011,"Plumilla Post. 11""""",1.0,2024,5,112000,Reparación / Servicio,01001-09011,REPUESTO FALTANTE,SIN MARCA
10000200,SIN_CODIGO,Bomba De Embraque,1.0,2024,6,119101,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000168,01001-05036,Trapecio Sup. Der. (cheroke),1.0,2024,5,93750,Reparación / Servicio,01001-05036,REPUESTO FALTANTE,SIN MARCA
10000196,01001-03007,Arandela De Tapon De Carter,1.0,2024,5,112517,Reparación / Servicio,01001-03007,REPUESTO FALTANTE,SIN MARCA
10000210,SIN_CODIGO,Filtro Elemento De Caja Cvt (externo),1.0,2024,6,39853,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000159,01001-01001,Aceite De Motor  5w30 Sash,1.0,2024,4,53408,Reparación / Servicio,01001-01001,REPUESTO FALTANTE,SIN MARCA
10000200,01001-09013,Amortiguador De Maletera (accent),2.0,2024,6,119101,Reparación / Servicio,01001-09013,REPUESTO FALTANTE,SIN MARCA
10000213,MC,Material Consumible,1.0,2024,6,104616,Reparación / Servicio,MC,REPUESTO FALTANTE,SIN MARCA
10000213,01001-01004,Shampoo Limpiaparabrisas Wurth 32ml.,1.0,2024,6,104616,Reparación / Servicio,01001-01004,REPUESTO FALTANTE,SIN MARCA
10000215,01001-01016,Aceite De Motor  5w40 Sash,5.0,2024,6,83303,Reparación / Servicio,01001-01016,REPUESTO FALTANTE,SIN MARCA
10000329,01001-02059,Foco Iodo H-4 12v 60/55w,1.0,2024,9,98551,Reparación / Servicio,01001-02059,REPUESTO FALTANTE,SIN MARCA
10000235,01001-09006,"Plumilla 24""""",1.0,2024,7,98096,Reparación / Servicio,01001-09006,REPUESTO FALTANTE,SIN MARCA
10000263,SIN_CODIGO,Empaque De Filtro De Aceite Original,1.0,2024,7,120874,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000235,SIN_CODIGO,Biletas Delanteras,2.0,2024,7,98096,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000251,SIN_CODIGO,Liquido De Freno,1.0,2024,7,36553,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000246,01001-09020,"Plumilla 12""""",2.0,2024,7,118842,Reparación / Servicio,01001-09020,REPUESTO FALTANTE,SIN MARCA
10000263,SIN_CODIGO,Fluido De Direccion Hidraulica. Original,3.0,2024,7,120874,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000261,01001-06014,Filtro De Aceite (honda),1.0,2024,7,91485,Reparación / Servicio,01001-06014,REPUESTO FALTANTE,SIN MARCA
10000237,SIN_CODIGO,Arandela,1.0,2024,7,204581,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000237,SIN_CODIGO,Insumos,1.0,2024,7,204581,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000237,MC,Material Consumible,1.0,2024,7,204581,Reparación / Servicio,MC,REPUESTO FALTANTE,SIN MARCA
10000281,SIN_CODIGO,Filtro De Aceite De Motor,1.0,2024,8,46643,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
