"CODIGO","DESCRIPCION","N_OT","CANTIDAD","PRECIO_UNITARIO","SUBTOTAL","IGV","TOTAL","FECHA_REGISTRO","REPARAR","C_MONEDA","N_PROFORMA","C_PROMOCION"
"FILTRO01       ","Filtro De Aceite",0,1,24.75,22.27,4.01,26.28,25/02/2022 05:44:33 PM,0,"S",0,""
"FILTRO02       ","Filtro De Aire",0,1,34,30.6,5.51,36.11,25/02/2022 05:44:33 PM,0,"S",0,""
"FILTRO03       ","Filtro De Aire Acondicionado",0,1,42,37.8,6.8,44.6,25/02/2022 05:44:33 PM,0,"S",0,""
"ACEITEWOLF01   ","Aceite De Motor Wolf 5w30",0,5,45,202.5,36.45,238.95,25/02/2022 05:44:33 PM,0,"S",0,""
"MC             ","Material Consumible",0,1,60,54,9.72,63.72,25/02/2022 05:44:33 PM,0,"S",0,""
"ARANDELA01     ","Arandela",0,1,3.5,3.15,0.57,3.72,25/02/2022 05:44:33 PM,0,"S",0,""
"SHAMPOO01      ","Shampoo Limpia Parabrisas",0,1,5.78,5.2,0.94,6.14,25/02/2022 05:44:33 PM,0,"S",0,""
"BPA000000040003","Aceite Para Motor 10w40 Sintetico",,4,35.48,141.92,25.55,167.47,23/05/2022 12:04:48 PM,0,"S",0,""
"BPA000000030007","Filtro De Aceite",,1,24.75,24.75,4.46,29.21,23/05/2022 12:04:48 PM,0,"S",0,""
"BPA000000030004","Filtro De Aire",,1,29.7,29.7,5.35,35.05,23/05/2022 12:04:48 PM,0,"S",0,""
"BPA000000030003","Filtro De Cabina",,1,37.95,37.95,6.83,44.78,23/05/2022 12:04:48 PM,0,"S",0,""
"BPA000000014002","Bujia De Iridio",,4,53.63,214.52,38.61,253.13,23/05/2022 12:04:48 PM,0,"S",0,""
"BPA000000100008","Arandela",,1,3.51,3.51,0.63,4.14,23/05/2022 12:04:48 PM,0,"S",0,""
"BPA000000000016","Shampoo Limpia Parabrisas",,1,5.49,5.49,0.99,6.48,23/05/2022 12:04:48 PM,0,"S",0,""
"BPA000000030007","Filtro De Aceite",10000001,1,24.75,24.75,4.46,29.21,12/02/2024 03:46:30 PM,0,"S",0,""
"BPA000000040008","Aceite 10w30 Sp/rc G6",10000001,4,31.04,124.16,22.35,146.51,12/02/2024 03:46:30 PM,0,"S",0,""
"FILTRO01       ","Filtro De Aceite",10000003,1,24.75,19.8,3.56,23.36,12/02/2024 03:46:00 PM,0,"S",0,""
